Index,Is Reference,Name,Brightest Detector,ra,dec,t90,Binsize,Distance,Sigma
97,0,GRB170113420,nb,61.73,-71.93,49.152,1.0,33536.0,229.324
136,0,GRB130218261,na,69.31,-69.13,37.121,1.0,11669.0,74.278
35,1,GRB200119692,n1,271.04,-77.14,19.2,1.0,0.0,
47,0,GRB130804023,n6,280.03,-76.15,0.96,0.1,235979.0,821.837
49,0,GRB120114433,n0,263.23,-75.64,2.752,1.0,2893.0,14.53
100,0,GRB090802666,nb,267.02,-71.77,27.52,1.0,2125.0,8.383
148,0,GRB180906759,n6,270.12,-67.67,13.309,1.0,3388.0,18.491
149,0,GRB100605774,n6,273.43,-67.6,8.192,1.0,3568.0,19.932
36,1,GRB210919653,n3,215.16,-77.1,1.6,0.1,0.0,
46,0,GRB160406570,n8,208.48,-76.37,66.56,1.0,267645.0,3936.616
91,0,GRB100926595,n4,222.75,-72.35,32.256,1.0,205889.0,3023.168
98,0,GRB120827216,n2,222.74,-71.89,5.056,1.0,214751.0,3154.248
127,0,GRB130327350,n1,218.09,-69.51,31.233,1.0,225552.0,3314.008
131,0,GRB150902733,n3,214.93,-69.36,13.568,1.0,283691.0,4173.957
141,0,GRB171024977,n6,210.53,-68.91,35.072,1.0,211275.0,3102.833
37,1,GRB210826293,n9,64.63,-77.07,19.712,1.0,0.0,
48,0,GRB161020759,n4,66.09,-75.65,24.32,1.0,14289.0,104.572
90,0,GRB091102607,n2,72.62,-72.52,6.656,1.0,5905.0,38.162
97,0,GRB170113420,nb,61.73,-71.93,49.152,1.0,10659.0,75.819
136,0,GRB130218261,na,69.31,-69.13,37.121,1.0,5598.0,35.73
38,1,GRB190628521,na,144.08,-77.07,19.2,1.0,0.0,
41,0,GRB110819665,n8,139.49,-76.64,16.384,1.0,17771.0,102.785
44,0,GRB180804765,n2,139.67,-68.9,21.504,1.0,13666.0,77.491
115,0,GRB090606471,na,146.94,-70.49,8.064,1.0,3067.0,12.182
117,0,GRB200120962,na,137.13,-70.44,12.8,1.0,8334.0,44.636
121,0,GRB080717543,n2,147.3,-70.0,36.608,1.0,26137.0,154.335
153,0,GRB081006604,n6,142.0,-67.4,6.4,1.0,18727.0,108.676
39,1,GRB110716018,n8,329.68,-76.98,7.168,1.0,0.0,
77,0,GRB170304003,n1,330.5,-73.76,0.16,0.1,157078.0,306.7
156,0,GRB090524346,n3,329.5,-67.4,54.337,1.0,18615.0,172.552
40,1,GRB220315101,n6,236.09,-76.82,0.768,0.1,0.0,
59,0,GRB100112418,n3,240.14,-75.1,23.04,1.0,202694.0,2379.217
96,0,GRB141022061,n7,241.9,-72.13,11.52,1.0,167714.0,1965.588
118,0,GRB191111547,n3,239.41,-70.42,158.212,1.0,223985.0,2630.977
120,0,GRB171020813,n4,234.6,-70.16,19.2,1.0,226189.0,2657.038
41,1,GRB110819665,n8,139.49,-76.64,16.384,1.0,0.0,
44,0,GRB180804765,n2,139.67,-68.9,21.504,1.0,5516.0,38.292
115,0,GRB090606471,na,146.94,-70.49,8.064,1.0,13777.0,106.553
117,0,GRB200120962,na,137.13,-70.44,12.8,1.0,5010.0,34.111
123,0,GRB180630335,n0,133.07,-69.94,48.896,1.0,2647.0,14.586
153,0,GRB081006604,n6,142.0,-67.4,6.4,1.0,1513.0,5.215
42,1,GRB190731943,n9,339.94,-76.62,15.872,1.0,0.0,
77,0,GRB170304003,n1,330.5,-73.76,0.16,0.1,244394.0,429.583
110,0,GRB090927422,na,343.95,-70.98,0.512,0.1,240869.0,442.522
116,0,GRB130505955,n8,344.47,-70.47,50.241,1.0,30916.0,176.968
147,0,GRB090719063,n8,341.27,-67.86,11.392,1.0,13019.0,70.291
43,1,GRB090810659,n2,168.93,-76.4,125.182,1.0,0.0,
57,0,GRB200908886,n0,169.53,-66.97,6.144,1.0,9210.0,27.456
67,0,GRB161012637,n0,160.43,-74.28,6.4,1.0,7669.0,20.006
79,0,GRB201227635,n4,170.12,-73.61,0.112,0.1,204620.0,2783.002
92,0,GRB191112369,n4,164.42,-72.27,50.432,1.0,11423.0,38.155
101,0,GRB110618366,n2,176.81,-71.69,163.843,1.0,10713.0,34.722
103,0,GRB190906767,n4,171.84,-71.57,23.04,1.0,6912.0,16.347
157,0,GRB150404733,n8,165.91,-67.37,4.864,1.0,6231.0,13.054
44,1,GRB180804765,n2,139.67,-68.9,21.504,1.0,0.0,
94,0,GRB210603907,n8,145.88,-62.12,7.936,1.0,12949.0,92.531
115,0,GRB090606471,na,146.94,-70.49,8.064,1.0,8439.0,57.574
117,0,GRB200120962,na,137.13,-70.44,12.8,1.0,1895.0,6.851
121,0,GRB080717543,n2,147.3,-70.0,36.608,1.0,6008.0,38.731
123,0,GRB180630335,n0,133.07,-69.94,48.896,1.0,3717.0,20.974
153,0,GRB081006604,n6,142.0,-67.4,6.4,1.0,5098.0,31.678
158,0,GRB180723133,n0,130.03,-67.15,3.072,1.0,8508.0,58.109
209,0,GRB090711850,n0,139.61,-64.74,51.969,1.0,4500.0,27.043
264,0,GRB120119229,n0,139.65,-61.33,41.728,1.0,6384.0,41.645
45,1,GRB180622273,na,201.56,-76.4,13.568,1.0,0.0,
46,0,GRB160406570,n8,208.48,-76.37,66.56,1.0,6095.0,38.881
81,0,GRB090304216,n7,195.9,-73.4,2.816,1.0,15581.0,110.809
